window_index,center_time_sec,valid_window,mse_AE1D_mean,mse_AE2D_mean,mse_AE1D_median,mse_AE2D_median
0,15,1,0.10876,0.014054,0.06892,0.006278
1,20,1,0.113955,0.014875,0.071732,0.006375
2,25,1,0.117161,0.015364,0.067807,0.006366
3,30,1,0.113615,0.015913,0.065866,0.006138
4,35,1,0.113797,0.015688,0.067152,0.00588
5,40,1,0.114959,0.015299,0.067152,0.005671
6,45,1,0.115999,0.016479,0.065221,0.005652
7,50,1,0.111572,0.016003,0.063915,0.005669
8,55,1,0.113852,0.014856,0.067675,0.005578
9,60,1,0.11243,0.014782,0.066308,0.005645
10,65,1,0.109354,0.015207,0.063993,0.005645
11,70,1,0.110981,0.015442,0.064601,0.005699
12,75,1,0.113905,0.015316,0.065066,0.005535
13,80,1,0.106578,0.014761,0.062754,0.005216
14,85,1,0.108817,0.016821,0.063663,0.005356
15,90,1,0.107684,0.015396,0.063231,0.005197
16,95,1,0.113659,0.015061,0.065863,0.005091
17,100,1,0.115759,0.014928,0.066099,0.005133
18,105,1,0.112751,0.014143,0.065382,0.004933
19,110,1,0.115171,0.014326,0.067178,0.005008
20,115,1,0.108793,0.012968,0.063373,0.004955
21,120,1,0.10726,0.013177,0.065188,0.004968
22,125,1,0.104531,0.013562,0.066251,0.005484
23,130,1,0.10047,0.01342,0.064446,0.005486
24,135,1,0.096929,0.01394,0.062987,0.005785
25,140,1,0.101768,0.014405,0.065254,0.005785
26,145,1,0.112756,0.014664,0.070137,0.005992
27,150,1,0.121326,0.017036,0.072598,0.006377
28,155,1,0.124222,0.017993,0.069172,0.006308
29,160,1,0.124712,0.018685,0.072389,0.006598
30,165,1,0.120884,0.018213,0.073154,0.006492
31,170,1,0.119094,0.01863,0.070526,0.006549
32,175,1,0.110281,0.017995,0.063791,0.006428
33,180,1,0.103421,0.015092,0.061345,0.005782
34,185,1,0.106895,0.0153,0.063524,0.005678
35,190,1,0.108259,0.01471,0.062534,0.005701
36,195,1,0.107933,0.014666,0.059961,0.005586
37,200,1,0.110917,0.014443,0.059652,0.005416
38,205,1,0.11107,0.015022,0.06252,0.005925
39,210,1,0.105297,0.014872,0.062142,0.006009
40,215,1,0.099435,0.014356,0.060959,0.005858
41,220,1,0.09477,0.014479,0.059139,0.00539
42,225,1,0.101037,0.015593,0.063637,0.005641
43,230,1,0.100349,0.016043,0.06277,0.005772
44,235,1,0.10491,0.016321,0.065228,0.005756
45,240,1,0.103783,0.016382,0.064363,0.005956
46,245,1,0.105469,0.016272,0.065155,0.005893
47,250,1,0.109257,0.01625,0.066255,0.005964
48,255,1,0.10816,0.015336,0.064924,0.005956
49,260,1,0.108856,0.014803,0.066088,0.005834
50,265,1,0.108167,0.015972,0.065328,0.005939
51,270,1,0.114443,0.018136,0.06823,0.005804
52,275,1,0.111384,0.018623,0.065981,0.005943
