window_index,wasserstein_AE1D_H0,wasserstein_AE2D_H0,wasserstein_AE1D_H1,wasserstein_AE2D_H1,topo_sum_AE2D
0,89.28574,21.79470,10.80682,4.97023,26.76493
1,89.91088,21.54211,10.60374,4.96882,26.51092
2,90.53603,21.28951,10.40066,4.96740,26.25691
3,91.16117,21.03691,10.19758,4.96599,26.00291
4,91.78632,20.78432,9.99450,4.96458,25.74890
5,90.70443,20.19165,10.45284,5.29216,25.48381
6,89.62254,19.59897,10.91118,5.61975,25.21872
7,88.54065,19.00630,11.36952,5.94733,24.95363
8,87.45876,18.41363,11.82786,6.27491,24.68854
9,88.42032,19.57799,11.37698,5.86724,25.44523
10,89.38187,20.74234,10.92611,5.45957,26.20191
11,90.34341,21.90670,10.47523,5.05189,26.95859
12,91.30497,23.07105,10.02436,4.64422,27.71528
13,91.11998,22.69720,10.21177,4.89237,27.58957
14,90.93498,22.32335,10.39919,5.14053,27.46388
15,90.74999,21.94950,10.58661,5.38868,27.33817
16,90.56500,21.57564,10.77402,5.63683,27.21247
17,90.38062,21.46323,10.79533,5.42632,26.88955
18,90.19623,21.35083,10.81665,5.21581,26.56663
19,90.01184,21.23842,10.83796,5.00529,26.24372
20,89.82745,21.12602,10.85927,4.79478,25.92080
21,88.52499,19.88001,10.72468,4.68436,24.56436
22,87.22253,18.63399,10.59009,4.57394,23.20793
23,85.92007,17.38798,10.45550,4.46351,21.85149
24,84.61762,16.14197,10.32091,4.35309,20.49506
25,86.53236,18.80104,10.29893,4.64562,23.44666
26,88.44711,21.46011,10.27696,4.93814,26.39825
27,90.36187,24.11917,10.25498,5.23066,29.34983
28,92.27662,26.77824,10.23301,5.52319,32.30143
29,91.73797,25.77714,10.20639,5.34135,31.11850
30,91.19932,24.77605,10.17978,5.15952,29.93556
31,90.66067,23.77495,10.15317,4.97768,28.75263
32,90.12202,22.77386,10.12656,4.79585,27.56970
33,88.86451,21.29767,10.23551,4.79247,26.09014
34,87.60700,19.82148,10.34446,4.78909,24.61057
35,86.34950,18.34530,10.45342,4.78571,23.13100
36,85.09199,16.86911,10.56237,4.78233,21.65144
37,84.04947,17.36055,10.42506,4.79794,22.15849
38,83.00694,17.85199,10.28775,4.81355,22.66554
39,81.96442,18.34343,10.15044,4.82916,23.17259
40,80.92190,18.83487,10.01313,4.84477,23.67964
41,83.31346,18.89671,10.05033,4.85383,23.75054
42,85.70503,18.95854,10.08753,4.86290,23.82143
43,88.09660,19.02037,10.12473,4.87196,23.89233
44,90.48816,19.08220,10.16193,4.88102,23.96322
45,89.76518,18.88846,9.91672,4.76887,23.65733
46,89.04221,18.69472,9.67152,4.65671,23.35144
47,88.31924,18.50098,9.42631,4.54456,23.04554
48,87.59627,18.30724,9.18111,4.43241,22.73965
49,88.67429,19.84198,9.44434,4.73791,24.57989
50,89.75232,21.37672,9.70757,5.04341,26.42013
51,90.83035,22.91145,9.97080,5.34892,28.26037
52,91.90838,24.44619,10.23404,5.65442,30.10061
53,90.31030,22.53698,10.32215,5.49367,28.03065
54,88.71223,20.62777,10.41027,5.33291,25.96068
55,87.11416,18.71855,10.49839,5.17216,23.89071
56,85.51608,16.80934,10.58651,5.01141,21.82074
57,86.62732,16.72730,10.49508,4.99981,21.72711
58,87.73856,16.64525,10.40365,4.98822,21.63348
