window_index,center_time_sec,mse_AE1D_mean_smooth,mse_AE2D_mean_smooth,score_z_smooth,topo_sum_AE2D_smooth
0,15,0.11137,0.01468,-0.46412,26.4827
1,20,0.11206,0.01482,-0.44632,26.34035
2,25,0.11286,0.01509,-0.42745,26.16855
3,30,0.11318,0.0153,-0.40539,25.9673
4,35,0.11374,0.01539,-0.38087,25.73659
5,40,0.11415,0.01547,-0.35563,25.58995
6,45,0.11364,0.01551,-0.31616,25.55562
7,50,0.11295,0.01552,-0.28647,25.63358
8,55,0.11298,0.01545,-0.26087,25.82385
9,60,0.11218,0.01535,-0.22398,26.02837
10,65,0.1115,0.01552,-0.18706,26.24837
11,70,0.11057,0.0154,-0.15699,26.48387
12,75,0.11081,0.01529,-0.15074,26.73485
13,80,0.11102,0.0153,-0.17332,26.9794
14,85,0.11105,0.01523,-0.22133,27.104
15,90,0.1117,0.01513,-0.33136,27.10865
16,95,0.11146,0.01486,-0.47788,26.99334
17,100,0.11072,0.01462,-0.64531,26.64324
18,105,0.11049,0.01449,-0.82522,26.15639
19,110,0.10956,0.01411,-0.97499,25.53279
20,115,0.10837,0.01395,-1.07127,24.77245
21,120,0.10705,0.01387,-1.08863,24.35403
22,125,0.10671,0.01385,-1.02526,24.29944
23,130,0.10767,0.01417,-0.88196,24.60868
24,135,0.10867,0.01457,-0.64187,25.28176
25,140,0.11044,0.01521,-0.33702,25.85928
26,145,0.11196,0.01577,-0.00303,26.45608
27,150,0.11357,0.01633,0.32254,27.07216
28,155,0.11466,0.01684,0.57285,27.70751
29,160,0.11539,0.01697,0.71304,28.32919
30,165,0.11595,0.01707,0.73817,28.45851
31,170,0.11546,0.01707,0.66076,28.09549
32,175,0.11397,0.01681,0.48005,27.24011
33,180,0.11249,0.01641,0.20857,26.11312
34,185,0.11097,0.01601,-0.09711,25.1739
35,190,0.10924,0.01564,-0.41096,24.42246
36,195,0.10706,0.01516,-0.6987,23.85879
37,200,0.10533,0.01477,-0.92206,23.43444
38,205,0.10507,0.01483,-1.06615,23.18236
39,210,0.10434,0.01491,-1.14374,23.10255
40,215,0.10397,0.01509,-1.17165,23.19502
41,220,0.10351,0.01528,-1.14505,23.4179
42,225,0.1029,0.01548,-1.06006,23.55045
