window_index,center_time_sec,delta_mse_AE2D_mean,abs_delta_mse_AE2D_mean,delta_score_z,abs_delta_score_z,delta_topo_sum_AE2D,abs_delta_topo_sum_AE2D
0,15,,,,,,
1,20,0.00082,0.00082,0.03194,0.03194,-0.25401,0.25401
2,25,0.00049,0.00049,0.09459,0.09459,-0.25401,0.25401
3,30,0.00055,0.00055,0.05661,0.05661,-0.25401,0.25401
4,35,-0.00023,0.00023,-0.02210,0.02210,-0.25401,0.25401
5,40,-0.00039,0.00039,-0.00081,0.00081,-0.26509,0.26509
6,45,0.00118,0.00118,0.00962,0.00962,-0.26509,0.26509
7,50,-0.00048,0.00048,0.02867,0.02867,-0.26509,0.26509
8,55,-0.00115,0.00115,0.02214,0.02214,-0.26509,0.26509
9,60,-0.00007,0.00007,0.00649,0.00649,0.75668,0.75668
10,65,0.00043,0.00043,0.16004,0.16004,0.75668,0.75668
11,70,0.00024,0.00024,0.00654,0.00654,0.75668,0.75668
12,75,-0.00013,0.00013,0.01985,0.01985,0.75668,0.75668
13,80,-0.00056,0.00056,0.07948,0.07948,-0.12570,0.12570
14,85,0.00206,0.00206,-0.00053,0.00053,-0.12570,0.12570
15,90,-0.00142,0.00142,-0.05205,0.05205,-0.12570,0.12570
16,95,-0.00034,0.00034,-0.18567,0.18567,-0.12570,0.12570
17,100,-0.00013,0.00013,-0.23741,0.23741,-0.32292,0.32292
18,105,-0.00079,0.00079,-0.22234,0.22234,-0.32292,0.32292
19,110,0.00018,0.00018,-0.39810,0.39810,-0.32292,0.32292
20,115,-0.00136,0.00136,-0.32194,0.32194,-0.32292,0.32292
21,120,0.00021,0.00021,-0.16831,0.16831,-1.35643,1.35643
22,125,0.00038,0.00038,-0.03282,0.03282,-1.35644,1.35644
23,130,-0.00014,0.00014,0.27066,0.27066,-1.35643,1.35643
24,135,0.00052,0.00052,0.42941,0.42941,-1.35643,1.35643
25,140,0.00047,0.00047,0.52463,0.52463,2.95159,2.95159
26,145,0.00026,0.00026,0.48914,0.48914,2.95159,2.95159
27,150,0.00237,0.00237,0.49702,0.49702,2.95159,2.95159
28,155,0.00096,0.00096,0.47301,0.47301,2.95159,2.95159
29,160,0.00069,0.00069,0.26088,0.26088,-1.18293,1.18293
30,165,-0.00047,0.00047,0.09406,0.09406,-1.18293,1.18293
31,170,0.00042,0.00042,-0.10870,0.10870,-1.18293,1.18293
32,175,-0.00063,0.00063,-0.40662,0.40662,-1.18293,1.18293
33,180,-0.00290,0.00290,-0.56171,0.56171,-1.47957,1.47957
34,185,0.00021,0.00021,-0.51093,0.51093,-1.47957,1.47957
35,190,-0.00059,0.00059,-0.43371,0.43371,-1.47956,1.47956
36,195,-0.00004,0.00004,-0.43269,0.43269,-1.47957,1.47957
37,200,-0.00022,0.00022,-0.34388,0.34388,0.50705,0.50705
38,205,0.00058,0.00058,-0.04697,0.04697,0.50705,0.50705
39,210,-0.00015,0.00015,0.02060,0.02060,0.50705,0.50705
40,215,-0.00052,0.00052,0.12628,0.12628,0.50705,0.50705
41,220,0.00012,0.00012,0.17268,0.17268,0.07090,0.07090
42,225,0.00111,0.00111,0.15182,0.15182,0.07090,0.07090
43,230,0.00045,0.00045,0.08754,0.08754,0.07089,0.07089
